# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	29585
#@/user_id	e99bcb09-d6ab-49a3-95df-5fff3ab5639a
a 	啊	c=132 d=1.22016 t=28797
wo cai zhi dao 	我纔知道	c=2 d=1.96079 t=24576
wo cao 	我操	c=2 d=1.91851 t=2923
wo cha cha 	我查查	c=2 d=1.6005 t=22389
wo chuang jian 	我創建	c=1 d=1 t=11745
wo de 	我的	c=1 d=1 t=23557
wo dei 	我得	c=1 d=1 t=10066
wo dou 	我都	c=0 d=0.1 t=1488
wo dou zai xiang 	我都在想	c=1 d=1 t=1489
wo fa 	我發	c=1 d=1 t=20163
wo fa ni 	我發你	c=1 d=1 t=4955
wo fa xian 	我發現	c=2 d=1.97531 t=17241
wo fang 	我方	c=1 d=1 t=2259
wo fen xi 	我分析	c=1 d=1 t=7456
wo gai cheng 	我改成	c=1 d=1 t=24322
wo gan jiao 	我感覺	c=1 d=1 t=26947
wo gang cai 	我剛纔	c=1 d=1 t=4937
wo gei ni 	我給你	c=2 d=0.100095 t=7848
wo gei ni wen wen 	我給你問問	c=1 d=1 t=7849
wo gen ju 	我根據	c=1 d=1 t=17149
wo hai 	我還	c=1 d=1 t=17462
wo hai bu 	我還不	c=0 d=0.1 t=11318
wo hai bu fang xin 	我還不放心	c=1 d=1 t=11319
wo hai you ge wen ti 	我還有個問題	c=1 d=1 t=6703
wo hai zai 	我還在	c=1 d=1 t=3464
wo hao 	我好	c=1 d=1 t=18622
wo he ni 	我和你	c=0 d=0.1 t=6160
wo he ni yi kuai qu ba 	我和你一塊去吧	c=1 d=1 t=6161
wo ji de 	我記得	c=7 d=1 t=16484
wo jia shang 	我加上	c=1 d=1 t=19618
wo jin tian 	我今天	c=1 d=1 t=6700
wo jing ran 	我竟然	c=1 d=1 t=19974
wo jiu 	我就	c=1 d=1 t=4019
wo jue de 	我覺得	c=2 d=1 t=24762
wo jue zhe 	我覺着	c=1 d=1 t=15864
wo kan 	我看	c=20 d=1 t=29539
wo kan kan 	我看看	c=28 d=1 t=27863
wo kan kan neng bu neng 	我看看能不能	c=1 d=1 t=16078
wo kan le 	我看了	c=3 d=1 t=22299
wo kan ni 	我看你	c=2 d=1 t=12214
wo kan xia 	我看下	c=1 d=1 t=9991
wo mei 	我沒	c=1 d=1 t=14120
wo mei kan 	我沒看	c=1 d=1 t=5712
wo men 	我們	c=111 d=1.34854 t=29153
wo men zu 	我們組	c=2 d=1 t=23640
wo ming tian 	我明天	c=1 d=1 t=2852
wo mu qian 	我目前	c=1 d=1 t=5130
wo qu 	我去	c=10 d=1 t=22315
wo qu kan zhe ba 	我去看着吧	c=1 d=1 t=18887
wo ren wei 	我認爲	c=1 d=1 t=13287
wo shang 	我上	c=1 d=0.1 t=16623
wo shang wang cha le 	我上網查了	c=1 d=1 t=16624
wo shi 	我是	c=1 d=1 t=23753
wo shi shi 	我試試	c=1 d=1 t=22105
wo shi shuo 	我是說	c=1 d=1 t=548
wo shuo 	我說	c=4 d=1.00456 t=28492
wo shuo ne 	我說呢	c=1 d=1 t=10119
wo wang le 	我忘了	c=2 d=1 t=6098
wo wen wen 	我問問	c=3 d=1 t=20317
wo xi fu 	我媳婦	c=1 d=1 t=14989
wo xian 	我先	c=1 d=1 t=22018
wo xian kan kan 	我先看看	c=1 d=1 t=4986
wo xian zai 	我現在	c=8 d=1 t=19337
wo xiang 	我想	c=0 d=0.1 t=3477
wo xiang xiang 	我想想	c=2 d=1.88692 t=5276
wo xiang zhao ni 	我想找你	c=1 d=1 t=3478
wo yao 	我要	c=0 d=0.1 t=20950
wo ye 	我也	c=2 d=1 t=10556
wo ye bu zhi dao 	我也不知道	c=1 d=1 t=341
wo ye qu 	我也去	c=1 d=1 t=6140
wo ye shi 	我也是	c=1 d=1 t=14988
wo yi wei 	我以爲	c=3 d=1 t=21081
wo yi wei ni 	我以爲你	c=1 d=1 t=12218
wo yi zhi zai 	我一直在	c=1 d=1 t=8071
wo ying gai 	我應該	c=1 d=1 t=18745
wo yong 	我用	c=1 d=1 t=20841
wo you 	我有	c=1 d=1 t=9766
wo za 	我咋	c=2 d=1 t=25067
wo zai 	我再	c=2 d=1.05208 t=21385
wo zai 	我在	c=2 d=1 t=20038
wo zai xiang 	我在想	c=2 d=1 t=17365
wo zen me 	我怎麼	c=1 d=1 t=27324
wo zhao bu dao 	我找不到	c=1 d=1 t=9864
wo zhe 	我這	c=1 d=1 t=1227
wo zhe bian 	我這邊	c=1 d=1 t=18698
wo zhi dao 	我知道	c=4 d=1.04929 t=21330
wo zhi jie 	我直接	c=2 d=1.13003 t=22404
wo zhi qian 	我之前	c=2 d=1 t=26011
wo zou 	我走	c=1 d=1 t=2592
wo zui hou 	我最後	c=1 d=1 t=3157
wu 	五	c=7 d=1 t=9645
wu 	塢	c=1 d=1 t=19295
wu 	屋	c=2 d=1.53526 t=10667
wu 	無	c=12 d=1.00665 t=28289
wu fa 	無法	c=21 d=1.06235 t=27453
wu fan 	午飯	c=1 d=1 t=10185
wu ge yue 	五個月	c=1 d=1 t=27784
wu guan 	無關	c=1 d=1 t=19723
wu li 	物理	c=0 d=0.1 t=24052
wu li shang 	物理上	c=1 d=1 t=24053
wu liu 	物流	c=1 d=1 t=8524
wu lun 	無論	c=1 d=1 t=25717
wu mai 	霧霾	c=2 d=1 t=22805
wu qiong 	無窮	c=3 d=2.93131 t=27722
wu ren 	無人	c=0 d=0.1 t=1769
wu ren dian 	無人店	c=1 d=1 t=1770
wu suo wei 	無所謂	c=2 d=1 t=9152
wu xian 	無線	c=2 d=1 t=20766
wu xian 	無限	c=1 d=1 t=7440
wu xian wang luo 	無線網絡	c=1 d=1 t=20767
wu xiao 	無效	c=3 d=1 t=28301
wu ye 	物業	c=1 d=1 t=10553
wu ye fei 	物業費	c=4 d=3.12443 t=10703
wu yi 	五一	c=1 d=1 t=21712
wu yu 	無語	c=0 d=0.1 t=3718
wu yu le 	無語了	c=1 d=1 t=3719
wu zi 	屋子	c=1 d=1 t=16058
xi 	吸	c=5 d=1 t=24325
xi 	洗	c=8 d=3.07851 t=27533
xi bu 	西部	c=0 d=0.1 t=28370
xi bu shi jie 	西部世界	c=1 d=1 t=28371
xi chu lai 	洗出來	c=2 d=1.97045 t=27416
xi fu 	媳婦	c=8 d=1 t=19272
xi guan 	習慣	c=4 d=1 t=29462
xi huan 	喜歡	c=1 d=1 t=1317
xi jie 	希捷	c=1 d=1 t=9706
xi jie 	細節	c=6 d=1 t=28761
xi lie 	系列	c=1 d=1 t=23462
xi san 	西三	c=1 d=1 t=3998
xi tong 	系統	c=45 d=1.00001 t=27825
xi tong zhi jian 	系統之間	c=1 d=1 t=24595
xi tong zhong 	系統中	c=1 d=1 t=23938
xi wang 	希望	c=5 d=1.85222 t=16151
xia 	下	c=37 d=1.62764 t=29093
xia ban 	下班	c=13 d=0.444728 t=27482
xia ci 	下次	c=4 d=2.44998 t=18103
xia dan 	下單	c=7 d=1.89236 t=2725
xia ge yue 	下個月	c=1 d=1 t=1465
xia lai 	下來	c=1 d=1 t=20296
xia mian 	下面	c=14 d=1.84367 t=22731
xia qu 	下去	c=1 d=1 t=16147
xia tu 	下圖	c=1 d=1 t=19818
xia wu 	下午	c=14 d=1.00351 t=29284
xia wu ji dian 	下午幾點	c=1 d=1 t=28615
xia xian 	下線	c=5 d=3.54762 t=23202
xia yi 	下一	c=1 d=1 t=28461
xia yi bu 	下一步	c=2 d=1.65705 t=14351
xia yi ceng 	下一層	c=1 d=1 t=24263
xia yi ci 	下一次	c=1 d=1 t=23394
xia yi ge 	下一個	c=7 d=1.85827 t=16613
xia yu 	下雨	c=1 d=0.1 t=18874
xia zai 	下載	c=2 d=1 t=16442
xia zhou 	下週	c=4 d=1 t=24468
xia zhou lai 	下週來	c=1 d=1 t=209
xian 	先	c=52 d=1.00625 t=29561
xian 	現	c=3 d=2.15391 t=23866
xian 	險	c=2 d=1.03538 t=15989
xian 	顯	c=4 d=3.34545 t=12636
xian ba 	先把	c=1 d=1 t=26536
xian chang 	現場	c=1 d=1 t=16535
xian cheng 	線程	c=1 d=1 t=25065
xian chi fan 	先喫飯	c=1 d=1 t=358
xian cong 	先從	c=2 d=1 t=25224
xian dai 	現代	c=2 d=1 t=24599
xian jin 	現金	c=1 d=1 t=6431
xian jin ka 	現金卡	c=8 d=1.99155 t=9375
xian kan kan 	先看看	c=1 d=1 t=17588
xian shang 	線上	c=4 d=1 t=22337
xian shang huan jing 	線上環境	c=1 d=1 t=9987
xian shi 	先是	c=1 d=1 t=6540
xian shi 	顯示	c=26 d=2.3463 t=29105
xian shi qi 	顯示器	c=4 d=1 t=23972
xian xing 	線性	c=5 d=1 t=29408
xian xing 	限行	c=2 d=1.19301 t=499
xian you 	現有	c=2 d=1.00057 t=21034
xian zai 	現在	c=97 d=1.99929 t=29027
xian zhi 	限制	c=11 d=1.00032 t=28656
xiang 	像	c=2 d=1.00372 t=2659
xiang 	向	c=4 d=1.00222 t=24384
xiang 	想	c=20 d=1.00831 t=23754
xiang ban fa 	想辦法	c=2 d=1 t=22681
xiang bi 	相比	c=1 d=1 t=23492
xiang bi jiao 	相比較	c=1 d=1 t=18245
xiang ce 	相冊	c=1 d=1 t=27168
xiang dang 	相當	c=1 d=1 t=26048
xiang dang yu 	相當於	c=6 d=1 t=26037
xiang dao 	想到	c=2 d=1.00011 t=16182
xiang deng 	相等	c=1 d=1 t=19817
xiang fa 	想法	c=2 d=1.3396 t=7165
xiang fan 	相反	c=1 d=1 t=11896
xiang gai 	想蓋	c=1 d=1 t=19544
xiang guan 	相關	c=17 d=1.97905 t=27846
xiang hu 	相互	c=4 d=1 t=26729
xiang ji 	相機	c=1 d=1 t=21820
xiang jia 	相加	c=3 d=1 t=28588
xiang lian 	相連	c=1 d=1 t=23985
xiang liang 	向量	c=4 d=3.61798 t=25931
xiang lin 	相鄰	c=1 d=1 t=6543
xiang mai 	想買	c=1 d=1 t=28525
xiang mu 	項目	c=78 d=3.51657 t=29092
xiang qi 	想起	c=0 d=0.1 t=159
xiang qi ge 	想起個	c=1 d=1 t=160
xiang qing 	詳情	c=8 d=1.00444 t=9297
xiang si 	相似	c=0 d=0.1 t=24645
xiang si 	相思	c=7 d=6.84325 t=9752
xiang si de 	相似地	c=1 d=1 t=24646
xiang su 	像素	c=1 d=1 t=22991
xiang tong 	相同	c=5 d=1.00117 t=27077
xiang xi 	詳細	c=5 d=1.00001 t=15779
xiang xiang 	想想	c=2 d=1.40253 t=7231
xiang xiang 	想象	c=1 d=1 t=12193
xiang yao 	想要	c=4 d=1 t=26776
xiang ying 	相應	c=8 d=1.02599 t=29163
xiang you 	向右	c=1 d=1 t=25985
xiang zhe 	想着	c=1 d=1 t=3855
xiang zi 	箱子	c=1 d=0.874916 t=17853
xiang zuo 	向左	c=1 d=1 t=25983
xiao 	小	c=26 d=1.00118 t=27275
xiao 	曉	c=0 d=0.1 t=19148
xiao 	消	c=2 d=1.38868 t=4521
xiao bao bao 	小寶寶	c=1 d=1 t=18913
xiao che 	小車	c=1 d=1 t=23427
xiao chuang 	小牀	c=2 d=1.87372 t=22852
xiao fei 	消費	c=1 d=1 t=2789
xiao gu 	小鼓	c=1 d=1 t=2872
xiao gu niang 	小姑娘	c=1 d=1 t=2140
xiao guo 	效果	c=4 d=1 t=27183
xiao hai 	小孩	c=3 d=1.00001 t=9364
xiao huo 	小夥	c=2 d=1 t=29269
xiao jie 	小結	c=1 d=1 t=11311
xiao ke che 	小客車	c=1 d=1 t=22623
xiao long 	曉龍	c=2 d=1 t=7830
xiao lu 	小路	c=1 d=1 t=1747
xiao lv 	效率	c=4 d=1 t=29374
xiao mai bu 	小賣部	c=1 d=1 t=7272
xiao mi 	小米	c=6 d=1 t=24892
xiao qi 	小氣	c=1 d=1 t=11061
xiao qu 	小區	c=5 d=1 t=27273
xiao shi 	小時	c=8 d=1.09802 t=28927
xiao shi pin 	小視頻	c=1 d=1 t=1885
xiao shu 	小數	c=10 d=3.90668 t=27724
xiao shu 	小鼠	c=2 d=2.04161 t=18651
xiao xi 	消息	c=5 d=1.31664 t=18575
xiao xie 	小寫	c=2 d=1.71892 t=10286
xiao yu 	小於	c=2 d=1.92312 t=18800
xiao zhong 	小衆	c=1 d=1 t=24523
xiao zu 	小組	c=2 d=1 t=5805
xie 	些	c=1 d=1 t=6536
xie 	寫	c=25 d=1.11025 t=26545
xie cheng 	協程	c=1 d=1 t=9661
xie cheng 	寫成	c=1 d=1 t=27470
xie cuo 	寫錯	c=1 d=1 t=22248
xie dai 	攜帶	c=1 d=1 t=23896
xie dai ma 	寫代碼	c=1 d=1 t=16336
xie de 	寫的	c=1 d=1 t=20011
xie fa 	寫法	c=2 d=1.83527 t=12717
xie lou 	泄漏	c=2 d=1 t=13715
xie ru 	寫入	c=3 d=2.84177 t=19160
xie si 	寫死	c=1 d=1 t=2411
xie tiao 	協調	c=1 d=1 t=7704
xie xie 	謝謝	c=6 d=1.00007 t=20785
xie yi 	協議	c=8 d=1.87812 t=21815
xie zai 	卸載	c=7 d=1 t=19967
xie zhu 	協助	c=2 d=1.44043 t=3100
xie zuo 	協作	c=1 d=1 t=13254
xin 	心	c=1 d=1 t=23248
xin 	新	c=37 d=1 t=28807
xin de 	新的	c=4 d=1 t=19643
xin de guo 	信得過	c=0 d=0.1 t=24737
xin fang 	新房	c=1 d=1 t=4138
xin hao 	信號	c=1 d=1 t=15474
xin jia 	新家	c=1 d=1 t=17641
xin jian 	新建	c=2 d=1.06111 t=29126
xin ku 	辛苦	c=3 d=1.15335 t=21118
xin ku le 	辛苦了	c=1 d=1 t=6723
xin lai 	信賴	c=1 d=1 t=5702
xin pian 	芯片	c=2 d=1 t=24062
xin pian zu 	芯片組	c=1 d=1 t=24009
xin qing 	心情	c=1 d=1 t=16139
xin ren 	信任	c=15 d=2.81307 t=15258
xin sheng er 	新生兒	c=1 d=1 t=14869
xin shi jian 	新事件	c=1 d=1 t=13322
xin shou 	新手	c=3 d=2.82116 t=19019
xin shou ji 	新手機	c=1 d=1 t=11141
xin si 	心思	c=1 d=1 t=26919
xin teng 	心疼	c=1 d=1 t=20738
xin tian jia 	新添加	c=1 d=1 t=24332
xin xi 	信息	c=35 d=1.00021 t=29166
xin yong ka 	信用卡	c=1 d=1 t=20481
xin zi 	薪資	c=3 d=1.96079 t=29536
xing 	形	c=2 d=1.4607 t=20348
xing 	性	c=5 d=0.1 t=17955
xing 	星	c=0 d=0.1 t=8519
xing 	行	c=65 d=1.60868 t=28778
xing ba 	行吧	c=3 d=1 t=25167
xing bu xing 	行不行	c=1 d=1 t=6055
xing de 	醒的	c=1 d=0.1 t=19101
xing de shi hou 	醒的時候	c=1 d=1 t=19102
xing jia bi 	性價比	c=1 d=1 t=24742
xing le 	醒了	c=4 d=1.8825 t=22570
xing neng 	性能	c=8 d=1.09231 t=24292
xing qi si 	星期四	c=1 d=1 t=5184
xing qu 	興趣	c=2 d=1.96561 t=7248
xing shi 	形式	c=7 d=1.5708 t=27778
xing wei 	行爲	c=5 d=2.60334 t=28068
xing zhi 	性質	c=1 d=1 t=7407
xiong di 	兄弟	c=2 d=1.94176 t=14107
xiu 	修	c=2 d=1 t=20282
xiu 	秀	c=1 d=1 t=13113
xiu fu 	修復	c=24 d=1 t=29209
xiu gai 	修改	c=68 d=4.89748 t=29507
xiu gai zhuang tai 	修改狀態	c=1 d=1 t=5174
xiu hao 	修好	c=1 d=1 t=28796
xiu xi 	休息	c=13 d=2.0704 t=27492
xiu xi hui 	休息會	c=2 d=1.00001 t=26965
xiu xi xiu xi 	休息休息	c=1 d=1 t=17969
xiu zheng 	修正	c=2 d=1 t=17108
xu 	序	c=2 d=1 t=25783
xu bao 	續保	c=5 d=2.92815 t=17311
xu bu xu yao 	需不需要	c=2 d=1 t=26167
xu duo 	許多	c=3 d=1 t=28052
xu fei 	續費	c=1 d=1 t=4818
xu hang 	續航	c=1 d=1 t=448
xu hao 	序號	c=1 d=1 t=4546
xu lie 	序列	c=1 d=1 t=25608
xu lie hua 	序列化	c=5 d=1.99005 t=27781
xu nei 	序內	c=1 d=1 t=25412
xu ni 	虛擬	c=6 d=1.00001 t=28078
xu ni di zhi 	虛擬地址	c=1 d=1 t=25562
xu ni ji 	虛擬機	c=2 d=1 t=29340
xu ni nei cun 	虛擬內存	c=1 d=1 t=25413
xu qiu 	需求	c=21 d=4.82134 t=21969
xu yao 	需要	c=61 d=1.21916 t=29160
xu zhi 	須知	c=10 d=2.79156 t=6477
xuan 	選	c=6 d=1.00003 t=29584
xuan xing 	選型	c=1 d=0.1 t=14169
xuan xing zhe kuai 	選型這塊	c=1 d=1 t=14170
xuan yi ge 	選一個	c=1 d=1 t=6771
xuan ze 	選擇	c=4 d=1 t=28132
xuan ze xing 	選擇性	c=1 d=1 t=19851
xuan zhong 	選中	c=2 d=1 t=23150
xue 	學	c=3 d=1 t=16306
xue xi 	學習	c=13 d=1.41416 t=29543
xue xi neng li 	學習能力	c=1 d=1 t=29277
xun huan 	循環	c=7 d=3.94284 t=13372
xun lei 	迅雷	c=2 d=1 t=13917
xun wu 	尋物	c=1 d=1 t=5561
xun zhi 	尋址	c=2 d=1.36788 t=25565
ya 	呀	c=3 d=1 t=25193
ya 	牙	c=2 d=1.00149 t=21642
ya jin 	押金	c=1 d=1 t=10693
ya kou wu yan 	啞口無言	c=1 d=1 t=14067
ya li 	壓力	c=2 d=1 t=22917
ya suo 	壓縮	c=1 d=1 t=1672
ya suo bao 	壓縮包	c=1 d=1 t=9790
ya teng 	牙疼	c=1 d=1 t=22588
ya zi 	鴨子	c=1 d=1 t=14466
yan 	眼	c=1 d=1 t=24415
yan 	研	c=1 d=1 t=23463
yan 	顏	c=2 d=1.10127 t=1215
yan 	驗	c=1 d=1 t=17403
yan chan 	眼饞	c=1 d=1 t=28190
yan ge 	嚴格	c=1 d=1 t=677
yan jing 	眼睛	c=1 d=1 t=4541
yan jiu 	研究	c=8 d=1 t=25879
yan se 	顏色	c=1 d=1 t=4218
yan se zhi 	顏色值	c=1 d=1 t=1759
yan shi 	演示	c=1 d=1 t=1907
yan zheng ma 	驗證碼	c=1 d=1 t=10343
yan zhi 	顏值	c=1 d=1 t=816
yan zhong 	嚴重	c=2 d=1 t=22807
yang 	楊	c=1 d=1 t=16787
yang 	樣	c=1 d=1 t=2339
yang ben 	樣本	c=2 d=1.00001 t=19209
yang ben liang 	樣本量	c=8 d=3.6375 t=19217
yang li 	樣例	c=1 d=1 t=14146
yang mao 	羊毛	c=0 d=0.194649 t=26582
yang mao dang 	羊毛黨	c=2 d=1.96561 t=26579
yang shi 	央視	c=1 d=1 t=250
yang shi 	樣式	c=3 d=1 t=8149
yang tai 	陽臺	c=1 d=1 t=16056
yao 	姚	c=1 d=1 t=28800
yao 	藥	c=7 d=1.96561 t=29118
yao 	要	c=69 d=2.25267 t=29289
yao bi 	要比	c=1 d=1 t=24201
yao bu 	要不	c=8 d=2.71716 t=22846
yao bu yao 	要不要	c=8 d=1 t=28765
yao da 	要打	c=1 d=1 t=545
yao ge 	妖哥	c=9 d=1.75578 t=19300
yao hao 	搖號	c=1 d=1 t=4269
yao me 	要麼	c=2 d=1.97045 t=23947
yao qing 	邀請	c=2 d=1 t=23380
yao qiu 	要求	c=5 d=1 t=26029
yao qu 	要去	c=1 d=1 t=27786
yao shi 	要是	c=3 d=1.03801 t=19938
yao shi 	鑰匙	c=2 d=1.00001 t=4831
yao shu xi 	要熟悉	c=1 d=1 t=4839
yao wo 	要我	c=0 d=0.1 t=21659
yao wo shuo 	要我說	c=1 d=1 t=21660
yao yong 	要用	c=1 d=1 t=13035
yao zai 	要在	c=1 d=1 t=1015
ye 	也	c=68 d=1.00002 t=29411
ye 	頁	c=13 d=1 t=28259
ye bu 	也不	c=0 d=0.1 t=27635
ye bu hui 	也不會	c=1 d=1 t=16664
ye bu quan 	也不全	c=1 d=1 t=27636
ye bu shi 	也不是	c=5 d=1 t=28677
ye bu xing 	也不行	c=2 d=1 t=20933
ye bu zhi dao 	也不知道	c=2 d=1.75201 t=432
ye gou 	野狗	c=1 d=1 t=23243
ye hai neng 	也還能	c=1 d=1 t=24757
ye hai xing 	也還行	c=1 d=1 t=26410
ye hui 	也會	c=5 d=1 t=25734
ye hui yong 	也會用	c=1 d=1 t=13348
ye jiu 	也就	c=1 d=1 t=7210
ye jiu shi 	也就是	c=2 d=1 t=26654
ye jiu shi shuo 	也就是說	c=1 d=1 t=13253
ye ke neng 	也可能	c=3 d=1 t=16909
ye ke yi 	也可以	c=4 d=1 t=28129
ye ke yi yong 	也可以用	c=1 d=1 t=25151
ye lai 	夜來	c=1 d=1 t=19153
ye mei 	也沒	c=2 d=1 t=11121
ye mian 	頁面	c=7 d=1.05785 t=20077
ye neng 	也能	c=1 d=1 t=27063
ye shi 	也是	c=29 d=1 t=28739
ye shi keng 	也是坑	c=1 d=1 t=9140
ye shi yong 	也使用	c=1 d=1 t=21201
ye si 	夜思	c=0 d=0.1 t=9725
ye suan 	也算	c=1 d=1 t=7342
ye ting 	也挺	c=0 d=0.1 t=7066
ye ting hao 	也挺好	c=1 d=1 t=7067
ye wu 	業務	c=11 d=1 t=28691
ye wu fa 	也無法	c=1 d=1 t=14737
ye wu luo ji 	業務邏輯	c=1 d=1 t=6222
ye wu shang 	業務上	c=1 d=1 t=14983
ye xing 	也行	c=4 d=1 t=20353
ye yong 	也用	c=0 d=0.1 t=11101
ye yong shi 	也用是	c=1 d=1 t=11102
ye you 	也有	c=3 d=1 t=22600
ye you dian 	也有點	c=1 d=1 t=17614
ye zi 	葉子	c=1 d=1 t=19810
ye zuo 	也做	c=1 d=1 t=3891
yi 	一	c=19 d=1.06395 t=21609
yi 	亦	c=1 d=1 t=16733
yi 	以	c=16 d=1.54642 t=27776
yi 	依	c=1 d=1 t=18836
yi 	億	c=2 d=1 t=24191
yi 	已	c=36 d=2.81635 t=28547
yi 	疑	c=1 d=1 t=9729
yi ban 	一半	c=2 d=1.99501 t=16559
yi ban 	一版	c=3 d=1 t=15481
yi ban 	一般	c=11 d=1.00007 t=28636
yi ban ren 	一般人	c=1 d=1 t=26521
yi bao 	一包	c=1 d=1 t=19894
yi bao 	醫保	c=3 d=0.1 t=20294
yi bao ka 	醫保卡	c=1 d=1 t=20295
yi bian 	一遍	c=3 d=1 t=12472
yi bian 	以便	c=2 d=1 t=14348
yi bu 	一步	c=1 d=1 t=16925
yi bu 	異步	c=35 d=1 t=28660
yi bu bu 	一步步	c=1 d=1 t=17928
yi bu fen 	一部分	c=1 d=1 t=13138
yi bu ren wu 	異步任務	c=1 d=1 t=16589
yi bu xia dan 	異步下單	c=2 d=1.24171 t=2373
yi ceng 	一層	c=2 d=1 t=6244
yi cha 	一查	c=1 d=1 t=1299
yi chang 	異常	c=8 d=1 t=25252
yi chu 	溢出	c=1 d=1 t=27055
yi chuan 	一串	c=1 d=1 t=24627
yi ci 	一次	c=5 d=1.00613 t=17963
yi ci 	依次	c=1 d=1 t=22765
yi da ban 	一大半	c=1 d=1 t=4930
yi da dui 	一大堆	c=1 d=1 t=1306
yi dian 	一點	c=2 d=1.08673 t=14042
yi ding 	一定	c=8 d=1 t=27940
yi dong 	移動	c=1 d=1 t=25986
yi duan 	一段	c=1 d=1 t=14316
yi dui 	一堆	c=2 d=1 t=24474
yi dun 	一頓	c=2 d=1 t=28148
yi fang 	以防	c=1 d=1 t=15497
yi fen 	一份	c=4 d=1 t=25715
yi fu 	衣服	c=3 d=0.100727 t=21064
yi ge 	一個	c=237 d=1.57599 t=29482
yi ge ge 	一個個	c=2 d=1.81465 t=24403
yi ge ren wu 	一個任務	c=1 d=1 t=14712
yi ge wen ti 	一個問題	c=1 d=1 t=19634
yi ge xiao shi 	一個小時	c=1 d=1 t=28924
yi ge yang 	一個樣	c=1 d=1 t=3932
yi ge yong hu 	一個用戶	c=1 d=1 t=8543
yi ge yong yu 	一個用於	c=1 d=1 t=14395
yi ge yue 	一個月	c=4 d=1 t=28596
yi ge zi 	一個字	c=1 d=1 t=24116
yi han 	遺憾	c=4 d=1 t=27402
yi hang 	一行	c=1 d=0.906541 t=7234
yi hao 	一號	c=3 d=2.95556 t=28544
yi he 	一盒	c=2 d=1.9802 t=28382
yi hou 	以後	c=25 d=1 t=27881
yi hui 	一會	c=2 d=1 t=19197
yi ji 	一級	c=5 d=1 t=11274
yi ji 	以及	c=19 d=1.00052 t=28008
yi jia 	一加	c=2 d=1.99501 t=19182
yi jian 	意見	c=1 d=1 t=14043
yi jing 	已經	c=24 d=2.59311 t=28414
yi ju 	依據	c=1 d=1 t=2550
yi kai shi 	一開始	c=3 d=1.06925 t=26527
yi kuai 	一塊	c=9 d=1 t=24013
yi kuan 	一款	c=5 d=2.28136 t=1077
yi lai 	依賴	c=8 d=1.01337 t=29071
yi lei 	一類	c=1 d=1 t=27692
yi lian 	一連	c=2 d=1 t=27948
yi liao 	醫療	c=8 d=1.00625 t=17296
yi liu 	一流	c=1 d=1 t=8357
yi liu 	遺留	c=1 d=1 t=8358
yi lu shang 	一路上	c=1 d=1 t=11322
yi miao 	疫苗	c=37 d=1 t=29484
yi nei 	以內	c=1 d=1 t=12146
yi nian 	一年	c=4 d=3.9358 t=15892
yi pi 	一批	c=1 d=0.694521 t=17145
yi qi 	一起	c=13 d=1 t=24609
yi qi ban 	一起辦	c=1 d=1 t=11427
yi qi chi fan 	一起喫飯	c=2 d=1 t=9283
yi qi dong 	已啓動	c=1 d=1 t=21011
yi qian 	以前	c=2 d=1 t=23523
yi ran 	亦然	c=1 d=1 t=25785
yi ren 	一人	c=1 d=1 t=23549
yi shang 	以上	c=1 d=1 t=21325
yi sheng 	醫生	c=11 d=1.09619 t=21258
yi sheng jun 	益生菌	c=1 d=1 t=12062
yi shi 	意識	c=1 d=1 t=16089
yi shi 	疑是	c=0 d=0.1 t=19133
yi shi bu dao 	意識不到	c=1 d=1 t=13214
yi shi di shang shuang 	疑是地上霜	c=1 d=1 t=19134
yi shi wu cheng 	一事無成	c=1 d=1 t=6942
yi shou 	一首	c=2 d=1.9802 t=9049
yi shuo 	一說	c=1 d=1 t=1359
yi si 	意思	c=14 d=2.24969 t=26871
yi tai 	一臺	c=1 d=1 t=19691
yi tian 	一天	c=10 d=1.0001 t=28446
yi tiao 	一條	c=7 d=1.9802 t=28035
yi tuo 	一坨	c=1 d=1 t=4128
yi wan 	一萬	c=7 d=1.94649 t=15943
yi wan cheng 	已完成	c=1 d=1 t=2404
yi wei 	以爲	c=2 d=1 t=27915
yi wei zhe 	意味着	c=1 d=1 t=19799
yi wen 	疑問	c=1 d=1 t=27009
yi xi lie 	一系列	c=1 d=1 t=15314
yi xia 	一下	c=74 d=2.92954 t=29569
yi xia 	以下	c=3 d=1 t=18424
yi xiang 	一項	c=1 d=1 t=2965
yi xiang 	意向	c=1 d=1 t=29560
yi xiang bu dao 	意想不到	c=3 d=1.85642 t=27133
yi xie 	一些	c=12 d=1 t=25736
yi xie lie 	一些列	c=1 d=1 t=13586
yi xue 	醫學	c=1 d=1 t=11444
yi yang 	一樣	c=18 d=1.11081 t=27365
yi yi 	一一	c=1 d=1 t=20589
yi yi 	意義	c=1 d=1 t=2394
yi you 	已有	c=2 d=1 t=21013
yi yu 	易於	c=1 d=1 t=14287
yi yuan 	一元	c=3 d=2.82059 t=12640
yi yuan 	意願	c=3 d=1.78788 t=13975
yi yuan 	醫院	c=15 d=1 t=29038
yi zhang 	一張	c=6 d=1.99717 t=28152
yi zhen 	一針	c=1 d=1 t=1460
yi zhen jian xie 	一針見血	c=1 d=1 t=14061
yi zhi 	一直	c=22 d=1.00163 t=24336
yi zhi 	一致	c=3 d=1 t=28069
